Tax year,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
        Loans from partners,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,139111031.00,179500158.00,201449049.00,259673194.00,293521710.00,322036189.00,337279018.00,303558071.00,288210061.00,416698949.00,426808524.00,455317380
"       Mortgages, notes, bonds payable in one year or more",NaN,NaN,NaN,114942633.00,NaN,178044406.00,196508937.00,236218378.00,NaN,NaN,NaN,NaN,NaN,473597425.00,512127625.00,496727132.00,490848692.00,486374218.00,488793170.00,508307609.00,544253482.00,607075733.00,705768931.00,884452445.00,988667751.00,1132180865.00,1286392538.00,1375077274.00,1389224345.00,1545671581.00,2226995104.00,2226995104.00,2555749230.00,2767081324.00,2737341531.00,2692942535.00,2559485500.00,2705801158.00,2717030076.00,2993283748.00,3221869377.00,3477198579.00,3844382673.00,4063880736.00,4135655218.00,4780251785.00,5252022004.00,5924892257
       Other liabilities,NaN,NaN,NaN,28803143.00,NaN,48372734.00,54270061.00,70421961.00,NaN,NaN,NaN,NaN,NaN,180808548.00,213417185.00,128715928.00,146547285.00,144974951.00,169234813.00,193082501.00,236854930.00,243163159.00,334060387.00,391320476.00,444318126.00,517896863.00,622469445.00,651855431.00,803492634.00,853440065.00,1352233911.00,1352233911.00,1562200795.00,1410611225.00,1383969620.00,1461928613.00,1383980355.00,1537891328.00,1640789556.00,1804837348.00,1857560452.00,1988428138.00,2196830961.00,2474257706.00,2639299613.00,3202014399.00,3973726434.00,4089676021
       Partners' capital accounts,NaN,NaN,NaN,60645684.00,NaN,108769900.00,135198813.00,143650646.00,NaN,NaN,NaN,NaN,NaN,267106948.00,355781582.00,315787891.00,356502000.00,399131522.00,498637347.00,633271057.00,832159680.00,1133267724.00,1513486056.00,1975699638.00,2545766494.00,2998634658.00,3593082308.00,3894523181.00,4371892684.00,5359745599.00,7796188572.00,7796188572.00,9946116885.00,9092444710.00,9713097224.00,10825955766.00,11635559587.00,12737737269.00,14322405258.00,15503662951.00,16347283814.00,16928097795.00,19278757487.00,20002147676.00,21106786729.00,26084071702.00,31783135515.00,32204573785
Income and deductions from a trade or business: ,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
   Total income,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,498378098.00,505222543.00,518994886.00,515461121.00,551549871.00,606190516.00,703827410.00,814704090.00,1002579987.00,1249789312.00,1474879256.00,1754972413.00,2218639870.00,2462461787.00,2582060669.00,2722174031.00,3021683261.00,3553589456.00,3912905087.00,4243833029.00,4700988521.00,3886378923.00,4280931741.00,4787734130.00,5081418395.00,5449360304.00,5603166669.00,5295334204.00,5336204494.00,5950274413.00,6432734325.00,5904091783.00,6542271248.00,7772495609.00,9212793590
Receipts and deductions from trade or business: [1],NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
Total Receipts,148417529.00,NaN,NaN,219192109.00,NaN,291998116.00,272129807.00,296690303.00,291318703.00,375192511.00,367117315.00,397302544.00,442802234.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
     Business receipts,142505781.00,NaN,NaN,207731266.00,NaN,271108833.00,230027336.00,251608987.00,243248370.00,318342380.00,302733374.00,327428647.00,411457126.00,463956020.00,464951817.00,483417504.00,483164395.00,514827003.00,560999120.00,656158602.00,760617695.00,915844404.00,1141963405.00,1356655904.00,1615762245.00,2061764235.00,2278200526.00,2414187093.00,2545612266.00,2818861323.00,3280057197.00,3571281520.00,3847033858.00,4343871123.00,3562275066.00,3946423948.00,4454568856.00,4689702874.00,5068975400.00,5185510381.00,4877414510.00,4918666446.00,5459610621.00,5904280531.00,5397435883.00,5902136847.00,7016021357.00,8339604045
     Ordinary income from other partnerships and fiduciaries,391887.00,NaN,NaN,829508.00,NaN,1277313.00,1862539.00,1976512.00,3551280.00,4136685.00,4894652.00,4716373.00,3909729.00,4959791.00,6503902.00,6014742.00,5421029.00,7150284.00,9580608.00,9700952.00,12499163.00,20363506.00,22888919.00,24959557.00,32216736.00,34396143.00,37145568.00,32370871.00,38860842.00,48711241.00,74562696.00,87011698.00,102398987.00,94616213.00,87691226.00,94549769.00,98016975.00,122584647.00,127818631.00,145221603.00,139229298.00,146568309.00,161355348.00,177348686.00,175563169.00,206878369.00,291280441.00,368498190
     Nonqualifying dividends and interest received,2497808.00,NaN,NaN,4417337.00,NaN,11053204.00,16521153.00,15259801.00,15006055.00,16651205.00,20558966.00,21715994.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
     Rents received,649343.00,NaN,NaN,914937.00,NaN,1179617.00,12211547.00,14715048.00,16435507.00,19112866.00,22011177.00,23096566.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
